,document,r1-precision,r1-recall,r1-f1-score,r2-precision,r2-recall,r2-f1-score,rL-precision,rL-recall,rL-f1-score
0,P99-1008,0.15246636771300448,0.4722222222222222,0.2305084745762712,0.04054054054054054,0.1267605633802817,0.061433447098976114,0.09865470852017937,0.3055555555555556,0.14915254237288134
1,J93-2003,0.3881278538812785,0.45698924731182794,0.41975308641975306,0.10550458715596331,0.12432432432432433,0.1141439205955335,0.2100456621004566,0.24731182795698925,0.2271604938271605
2,W08-0336,0.2819548872180451,0.6,0.38363171355498715,0.09056603773584905,0.1935483870967742,0.12339331619537275,0.15789473684210525,0.336,0.21483375959079284
3,N10-1119,0.21597633136094674,0.4866666666666667,0.29918032786885246,0.05341246290801187,0.12080536912751678,0.07407407407407407,0.11242603550295859,0.25333333333333335,0.1557377049180328
4,P04-3022,0.18473895582329317,0.6133333333333333,0.2839506172839506,0.07661290322580645,0.25675675675675674,0.11801242236024846,0.14056224899598393,0.4666666666666667,0.21604938271604937
5,J06-3003,0.34539473684210525,0.46875,0.3977272727272727,0.1188118811881188,0.16143497757847533,0.13688212927756652,0.1875,0.2544642857142857,0.2159090909090909
6,W08-0309,0.18928571428571428,0.4953271028037383,0.2739018087855297,0.05734767025089606,0.1509433962264151,0.0831168831168831,0.11785714285714285,0.308411214953271,0.17054263565891475
7,P08-1114,0.19169329073482427,0.5217391304347826,0.2803738317757009,0.057692307692307696,0.15789473684210525,0.08450704225352111,0.11182108626198083,0.30434782608695654,0.16355140186915887
8,P87-1033,0.10196078431372549,0.5098039215686274,0.16993464052287582,0.023622047244094488,0.12,0.03947368421052631,0.07058823529411765,0.35294117647058826,0.1176470588235294
9,J98-1006,0.25833333333333336,0.5849056603773585,0.35838150289017345,0.07112970711297072,0.1619047619047619,0.0988372093023256,0.1375,0.3113207547169811,0.19075144508670522
10,P06-2066,0.29739776951672864,0.5517241379310345,0.3864734299516908,0.13059701492537312,0.24305555555555555,0.1699029126213592,0.17843866171003717,0.3310344827586207,0.23188405797101447
11,J02-3001,0.3107769423558897,0.5040650406504065,0.38449612403100775,0.11055276381909548,0.17959183673469387,0.13685847589424574,0.16040100250626566,0.2601626016260163,0.19844961240310077
12,P02-1043,0.13082039911308205,0.6483516483516484,0.2177121771217712,0.051111111111111114,0.25555555555555554,0.08518518518518518,0.08425720620842572,0.4175824175824176,0.14022140221402213
13,P95-1007,0.6271186440677966,0.2003610108303249,0.30369357045143636,0.2556818181818182,0.081374321880651,0.12345679012345677,0.3333333333333333,0.10649819494584838,0.16142270861833102
14,J93-2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,C00-1072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,J05-4003,0.2813852813852814,0.4961832061068702,0.35911602209944754,0.0782608695652174,0.13846153846153847,0.10000000000000002,0.17316017316017315,0.3053435114503817,0.22099447513812157
17,J98-1001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,P83-1007,0.9727272727272728,0.09516750667061963,0.17337294085876317,0.8693009118541033,0.08481613285883749,0.15455282356119968,0.8878787878787879,0.0868662911354877,0.15825006751282744
19,P09-1068,0.15028901734104047,0.5306122448979592,0.23423423423423423,0.03768115942028986,0.13402061855670103,0.05882352941176471,0.07803468208092486,0.2755102040816326,0.12162162162162163
20,N04-1043,0.23728813559322035,0.5137614678899083,0.32463768115942027,0.059574468085106386,0.12962962962962962,0.0816326530612245,0.1271186440677966,0.27522935779816515,0.17391304347826086
21,C00-1044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,P09-1057,0.15479876160990713,0.625,0.24813895781637718,0.040372670807453416,0.16455696202531644,0.06483790523690773,0.1021671826625387,0.4125,0.16377171215880895
23,P96-1021,0.5797665369649806,0.20053835800807537,0.298,0.16796875,0.057951482479784364,0.08617234468937875,0.25680933852140075,0.08882907133243607,0.132
24,P06-1084,0.3709677419354839,0.4946236559139785,0.42396313364055305,0.11336032388663968,0.15135135135135136,0.12962962962962962,0.18548387096774194,0.24731182795698925,0.21198156682027652
25,C04-1041,0.18867924528301888,0.43795620437956206,0.26373626373626374,0.04416403785488959,0.10294117647058823,0.061810154525386324,0.11006289308176101,0.25547445255474455,0.15384615384615388
26,W11-1801,0.12937062937062938,0.5285714285714286,0.20786516853932582,0.028070175438596492,0.11594202898550725,0.04519774011299436,0.08041958041958042,0.32857142857142857,0.1292134831460674
27,P91-1034,0.22325581395348837,0.6153846153846154,0.3276450511945393,0.07476635514018691,0.2077922077922078,0.10996563573883161,0.15348837209302327,0.4230769230769231,0.22525597269624573
28,P05-1067,0.27941176470588236,0.4222222222222222,0.336283185840708,0.09359605911330049,0.1417910447761194,0.11275964391691394,0.1715686274509804,0.25925925925925924,0.20648967551622419
29,W09-0424,0.17488789237668162,0.5064935064935064,0.26,0.06756756756756757,0.19736842105263158,0.10067114093959731,0.11659192825112108,0.33766233766233766,0.17333333333333334
30,W04-0308,0.2268370607028754,0.6339285714285714,0.3341176470588236,0.07692307692307693,0.21621621621621623,0.11347517730496454,0.12140575079872204,0.3392857142857143,0.17882352941176471
31,W07-2014,0.0935672514619883,0.5333333333333333,0.15920398009950248,0.02932551319648094,0.1694915254237288,0.05,0.06725146198830409,0.38333333333333336,0.11442786069651742
32,H91-1060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,J10-3003,0.25660377358490566,0.5,0.33915211970074816,0.07196969696969698,0.14074074074074075,0.09523809523809523,0.15471698113207547,0.3014705882352941,0.20448877805486282
34,P06-1077,0.2748091603053435,0.6545454545454545,0.38709677419354843,0.10344827586206896,0.24770642201834864,0.14594594594594595,0.12213740458015267,0.2909090909090909,0.17204301075268816
35,C04-1046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,S12-1053,0.13617021276595745,0.6336633663366337,0.22416812609457096,0.046908315565031986,0.22,0.07732864674868191,0.08936170212765958,0.4158415841584158,0.14711033274956217
37,P02-1019,0.09538461538461539,0.5535714285714286,0.16272965879265092,0.021604938271604937,0.12727272727272726,0.036939313984168866,0.06461538461538462,0.375,0.11023622047244093
38,W99-0613,0.2976190476190476,0.5067567567567568,0.375,0.07569721115537849,0.1292517006802721,0.09547738693467336,0.15079365079365079,0.25675675675675674,0.18999999999999997
39,W97-0322,0.24210526315789474,0.6571428571428571,0.35384615384615387,0.09507042253521127,0.25961538461538464,0.13917525773195877,0.13333333333333333,0.3619047619047619,0.19487179487179485
40,P05-1033,0.1595744680851064,0.5844155844155844,0.25069637883008355,0.046263345195729534,0.17105263157894737,0.07282913165266106,0.0851063829787234,0.3116883116883117,0.13370473537604455
41,W07-0717,0.1553398058252427,0.5714285714285714,0.24427480916030533,0.02922077922077922,0.10843373493975904,0.04603580562659847,0.08737864077669903,0.32142857142857145,0.13740458015267176
42,J04-1002,0.4153846153846154,0.47093023255813954,0.44141689373297005,0.11855670103092783,0.13450292397660818,0.12602739726027398,0.19487179487179487,0.22093023255813954,0.20708446866485014
43,D09-1092,0.18861209964412812,0.5520833333333334,0.28116710875331563,0.04642857142857143,0.1368421052631579,0.06933333333333333,0.10320284697508897,0.3020833333333333,0.15384615384615383
44,N07-1038,0.2689075630252101,0.4740740740740741,0.34316353887399464,0.08860759493670886,0.15671641791044777,0.11320754716981132,0.15126050420168066,0.26666666666666666,0.19302949061662197
45,D10-1048,0.2727272727272727,0.4426229508196721,0.33749999999999997,0.04054054054054054,0.06593406593406594,0.05020920502092051,0.12121212121212122,0.19672131147540983,0.15
46,J04-1005,0.08733624454148471,0.5,0.14869888475836432,0.02631578947368421,0.15384615384615385,0.0449438202247191,0.06550218340611354,0.375,0.11152416356877325
47,P05-1034,0.2773109243697479,0.6055045871559633,0.3804034582132565,0.0759493670886076,0.16666666666666666,0.10434782608695653,0.12605042016806722,0.27522935779816515,0.17291066282420747
48,C08-1022,0.14779874213836477,0.6527777777777778,0.24102564102564106,0.04416403785488959,0.19718309859154928,0.07216494845360824,0.09748427672955975,0.4305555555555556,0.158974358974359
49,C02-1144,0.3576158940397351,0.4090909090909091,0.3816254416961131,0.06666666666666667,0.07633587786259542,0.0711743772241993,0.17880794701986755,0.20454545454545456,0.19081272084805656
50,J91-4003,0.4956140350877193,0.5432692307692307,0.518348623853211,0.24669603524229075,0.27053140096618356,0.25806451612903225,0.30701754385964913,0.33653846153846156,0.3211009174311927
51,P09-2012,0.14015151515151514,0.6166666666666667,0.22839506172839505,0.053231939163498096,0.23728813559322035,0.08695652173913043,0.10227272727272728,0.45,0.16666666666666669
52,P02-1017,0.16878980891719744,0.49074074074074076,0.25118483412322273,0.04792332268370607,0.14018691588785046,0.07142857142857144,0.09872611464968153,0.28703703703703703,0.14691943127962084
53,N04-1021,0.1702127659574468,0.5393258426966292,0.2587601078167116,0.03914590747330961,0.125,0.059620596205962065,0.10283687943262411,0.3258426966292135,0.15633423180592992
54,W09-0441,0.3177257525083612,0.6012658227848101,0.41575492341356673,0.14429530201342283,0.27388535031847133,0.189010989010989,0.16387959866220736,0.310126582278481,0.21444201312910285
55,W00-1427,0.13293051359516617,0.4731182795698925,0.20754716981132074,0.024242424242424242,0.08695652173913043,0.03791469194312796,0.08157099697885196,0.2903225806451613,0.12735849056603774
