,document,r1-precision,r1-recall,r1-f1-score,r2-precision,r2-recall,r2-f1-score,rL-precision,rL-recall,rL-f1-score
0,P99-1008,0.6071428571428571,0.4722222222222222,0.53125,0.43636363636363634,0.3380281690140845,0.38095238095238093,0.32142857142857145,0.25,0.28125000000000006
1,J93-2003,1.0,0.41397849462365593,0.5855513307984791,0.9868421052631579,0.40540540540540543,0.5747126436781609,0.6233766233766234,0.25806451612903225,0.3650190114068441
2,W08-0336,0.4457831325301205,0.296,0.35576923076923067,0.13414634146341464,0.08870967741935484,0.10679611650485438,0.18072289156626506,0.12,0.14423076923076922
3,N10-1119,0.35507246376811596,0.32666666666666666,0.3402777777777778,0.11678832116788321,0.10738255033557047,0.11188811188811189,0.2028985507246377,0.18666666666666668,0.19444444444444448
4,P04-3022,0.3119266055045872,0.4533333333333333,0.3695652173913043,0.09259259259259259,0.13513513513513514,0.1098901098901099,0.11009174311926606,0.16,0.13043478260869565
5,J06-3003,0.746268656716418,0.22321428571428573,0.34364261168384885,0.5909090909090909,0.17488789237668162,0.2698961937716263,0.6417910447761194,0.19196428571428573,0.29553264604810997
6,W08-0309,0.4032258064516129,0.2336448598130841,0.29585798816568043,0.13114754098360656,0.07547169811320754,0.09580838323353293,0.2903225806451613,0.16822429906542055,0.21301775147928997
7,P08-1114,0.3017241379310345,0.30434782608695654,0.30303030303030304,0.017391304347826087,0.017543859649122806,0.017467248908296942,0.1206896551724138,0.12173913043478261,0.12121212121212122
8,P87-1033,0.3442622950819672,0.4117647058823529,0.37499999999999994,0.13333333333333333,0.16,0.14545454545454545,0.22950819672131148,0.27450980392156865,0.25
9,J98-1006,1.0,0.4811320754716981,0.6496815286624203,0.96,0.45714285714285713,0.6193548387096774,0.5098039215686274,0.24528301886792453,0.33121019108280253
10,P06-2066,0.4318181818181818,0.2620689655172414,0.32618025751072965,0.09195402298850575,0.05555555555555555,0.06926406926406926,0.23863636363636365,0.14482758620689656,0.18025751072961374
11,J02-3001,0.6617647058823529,0.18292682926829268,0.28662420382165604,0.44776119402985076,0.12244897959183673,0.19230769230769232,0.5588235294117647,0.15447154471544716,0.24203821656050956
12,P02-1043,0.2727272727272727,0.1978021978021978,0.22929936305732482,0.03076923076923077,0.022222222222222223,0.025806451612903226,0.13636363636363635,0.0989010989010989,0.11464968152866241
13,P95-1007,0.5540540540540541,0.0740072202166065,0.1305732484076433,0.0684931506849315,0.009041591320072333,0.015974440894568693,0.32432432432432434,0.04332129963898917,0.07643312101910828
14,J93-2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,C00-1072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,J05-4003,1.0,0.366412213740458,0.5363128491620112,0.9787234042553191,0.35384615384615387,0.5197740112994351,0.8125,0.29770992366412213,0.43575418994413406
17,J98-1001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,P83-1007,0.8,0.017788319003854136,0.03480278422273782,0.28378378378378377,0.006227758007117438,0.012188044109112013,0.49333333333333335,0.010969463385710051,0.021461716937354988
19,P09-1068,0.25,0.17346938775510204,0.20481927710843376,0.029850746268656716,0.020618556701030927,0.024390243902439025,0.11764705882352941,0.08163265306122448,0.09638554216867469
20,N04-1043,0.32857142857142857,0.21100917431192662,0.2569832402234637,0.07246376811594203,0.046296296296296294,0.05649717514124293,0.18571428571428572,0.11926605504587157,0.1452513966480447
21,C00-1044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,P09-1057,0.3125,0.25,0.2777777777777778,0.07936507936507936,0.06329113924050633,0.07042253521126761,0.15625,0.125,0.1388888888888889
23,P96-1021,0.5434782608695652,0.033647375504710635,0.06337135614702154,0.06666666666666667,0.004043126684636119,0.007623888182973317,0.30434782608695654,0.018842530282637954,0.035487959442332066
24,P06-1084,0.6440677966101694,0.20430107526881722,0.31020408163265306,0.3620689655172414,0.11351351351351352,0.1728395061728395,0.3898305084745763,0.12365591397849462,0.18775510204081633
25,C04-1041,0.25287356321839083,0.16058394160583941,0.19642857142857142,0.03488372093023256,0.022058823529411766,0.02702702702702703,0.14942528735632185,0.0948905109489051,0.11607142857142856
26,W11-1801,0.24691358024691357,0.2857142857142857,0.26490066225165565,0.0625,0.07246376811594203,0.06711409395973156,0.13580246913580246,0.15714285714285714,0.1456953642384106
27,P91-1034,0.2894736842105263,0.28205128205128205,0.28571428571428575,0.05333333333333334,0.05194805194805195,0.05263157894736843,0.15789473684210525,0.15384615384615385,0.15584415584415584
28,P05-1067,0.33962264150943394,0.13333333333333333,0.19148936170212763,0.07692307692307693,0.029850746268656716,0.04301075268817204,0.18867924528301888,0.07407407407407407,0.10638297872340426
29,W09-0424,0.2926829268292683,0.3116883116883117,0.3018867924528302,0.12345679012345678,0.13157894736842105,0.12738853503184716,0.1951219512195122,0.2077922077922078,0.20125786163522014
30,W04-0308,0.3561643835616438,0.23214285714285715,0.2810810810810811,0.041666666666666664,0.02702702702702703,0.03278688524590164,0.1506849315068493,0.09821428571428571,0.11891891891891893
31,W07-2014,0.13541666666666666,0.21666666666666667,0.16666666666666669,0.010526315789473684,0.01694915254237288,0.012987012987012986,0.08333333333333333,0.13333333333333333,0.10256410256410255
32,H91-1060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,J10-3003,0.6,0.3088235294117647,0.4077669902912622,0.36231884057971014,0.18518518518518517,0.24509803921568626,0.42857142857142855,0.22058823529411764,0.29126213592233013
34,P06-1077,0.2926829268292683,0.32727272727272727,0.3090128755364807,0.07377049180327869,0.08256880733944955,0.07792207792207792,0.13821138211382114,0.15454545454545454,0.1459227467811159
35,C04-1046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,S12-1053,0.3076923076923077,0.27722772277227725,0.2916666666666667,0.1111111111111111,0.1,0.10526315789473685,0.15384615384615385,0.13861386138613863,0.14583333333333334
37,P02-1019,0.18823529411764706,0.2857142857142857,0.22695035460992907,0.011904761904761904,0.01818181818181818,0.014388489208633093,0.12941176470588237,0.19642857142857142,0.15602836879432624
38,W99-0613,0.5287356321839081,0.3108108108108108,0.3914893617021277,0.2558139534883721,0.14965986394557823,0.1888412017167382,0.22988505747126436,0.13513513513513514,0.1702127659574468
39,W97-0322,0.42857142857142855,0.34285714285714286,0.38095238095238093,0.08433734939759036,0.0673076923076923,0.0748663101604278,0.2619047619047619,0.20952380952380953,0.23280423280423285
40,P05-1033,0.21296296296296297,0.2987012987012987,0.2486486486486486,0.018691588785046728,0.02631578947368421,0.02185792349726776,0.09259259259259259,0.12987012987012986,0.1081081081081081
41,W07-0717,0.4,0.16666666666666666,0.23529411764705882,0.14705882352941177,0.060240963855421686,0.08547008547008546,0.2571428571428571,0.10714285714285714,0.15126050420168066
42,J04-1002,0.7906976744186046,0.3953488372093023,0.5271317829457364,0.6823529411764706,0.3391812865497076,0.45312499999999994,0.6395348837209303,0.31976744186046513,0.42635658914728686
43,D09-1092,0.3384615384615385,0.4583333333333333,0.3893805309734513,0.08527131782945736,0.11578947368421053,0.0982142857142857,0.17692307692307693,0.23958333333333334,0.20353982300884957
44,N07-1038,0.3894736842105263,0.2740740740740741,0.32173913043478264,0.05319148936170213,0.03731343283582089,0.04385964912280702,0.15789473684210525,0.1111111111111111,0.13043478260869565
45,D10-1048,0.44,0.3005464480874317,0.3571428571428571,0.18548387096774194,0.12637362637362637,0.1503267973856209,0.264,0.18032786885245902,0.2142857142857143
46,J04-1005,0.16326530612244897,0.2,0.17977528089887637,0.041666666666666664,0.05128205128205128,0.045977011494252866,0.12244897959183673,0.15,0.1348314606741573
47,P05-1034,0.4375,0.25688073394495414,0.3236994219653179,0.1111111111111111,0.06481481481481481,0.08187134502923976,0.234375,0.13761467889908258,0.17341040462427748
