,document,r1-precision,r1-recall,r1-f1-score,r2-precision,r2-recall,r2-f1-score,rL-precision,rL-recall,rL-f1-score
0,P99-1008,0.20179372197309417,0.4368932038834951,0.27607361963190186,0.04954954954954955,0.10784313725490197,0.06790123456790124,0.11659192825112108,0.2524271844660194,0.15950920245398773
1,J93-2003,0.4246575342465753,0.4305555555555556,0.42758620689655175,0.10550458715596331,0.10697674418604651,0.10623556581986145,0.2146118721461187,0.2175925925925926,0.21609195402298847
2,W08-0336,0.3684210526315789,0.5868263473053892,0.4526558891454965,0.1018867924528302,0.16265060240963855,0.12529002320185614,0.18796992481203006,0.2994011976047904,0.23094688221709006
3,N10-1119,0.26331360946745563,0.4810810810810811,0.34034416826003827,0.08011869436201781,0.14673913043478262,0.10364683301343569,0.11834319526627218,0.21621621621621623,0.15296367112810708
4,P04-3022,0.2931726907630522,0.5251798561151079,0.37628865979381443,0.08870967741935484,0.15942028985507245,0.11398963730569948,0.18072289156626506,0.3237410071942446,0.23195876288659792
5,J06-3003,0.42105263157894735,0.4266666666666667,0.423841059602649,0.13861386138613863,0.14046822742474915,0.13953488372093023,0.20394736842105263,0.20666666666666667,0.20529801324503308
6,W08-0309,0.28214285714285714,0.47305389221556887,0.35346756152125286,0.05017921146953405,0.08433734939759036,0.06292134831460675,0.15,0.25149700598802394,0.1879194630872483
7,P08-1114,0.25559105431309903,0.5128205128205128,0.34115138592750527,0.05128205128205128,0.1032258064516129,0.06852248394004283,0.13738019169329074,0.27564102564102566,0.18336886993603413
8,P87-1033,0.23529411764705882,0.5555555555555556,0.3305785123966942,0.05905511811023622,0.14018691588785046,0.08310249307479224,0.12941176470588237,0.3055555555555556,0.18181818181818185
9,J98-1006,0.2833333333333333,0.5619834710743802,0.3767313019390581,0.06276150627615062,0.125,0.08356545961002786,0.14583333333333334,0.2892561983471074,0.19390581717451527
10,P06-2066,0.2936802973977695,0.5266666666666666,0.3770883054892602,0.11567164179104478,0.2080536912751678,0.14868105515587532,0.16728624535315986,0.3,0.21479713603818615
11,J02-3001,0.3157894736842105,0.47191011235955055,0.37837837837837834,0.10050251256281408,0.15037593984962405,0.12048192771084337,0.15789473684210525,0.23595505617977527,0.18918918918918917
12,P02-1043,0.1973392461197339,0.6223776223776224,0.29966329966329963,0.06222222222222222,0.19718309859154928,0.0945945945945946,0.12195121951219512,0.38461538461538464,0.18518518518518517
13,P95-1007,0.2711864406779661,0.42105263157894735,0.32989690721649484,0.056818181818181816,0.08849557522123894,0.06920415224913494,0.14124293785310735,0.21929824561403508,0.1718213058419244
14,J93-2004,0.03003003003003003,1.0,0.05830903790087463,0.02710843373493976,1.0,0.0527859237536657,0.03003003003003003,1.0,0.05830903790087463
15,C00-1072,0.16287878787878787,0.4387755102040816,0.2375690607734806,0.08745247148288973,0.23711340206185566,0.12777777777777777,0.12121212121212122,0.32653061224489793,0.17679558011049723
16,J05-4003,0.3333333333333333,0.4010416666666667,0.36406619385342787,0.07391304347826087,0.08900523560209424,0.08076009501187649,0.18181818181818182,0.21875,0.19858156028368792
17,J98-1001,0.11538461538461539,0.5921052631578947,0.19313304721030042,0.04627249357326478,0.24,0.07758620689655171,0.08717948717948718,0.4473684210526316,0.1459227467811159
18,P83-1007,0.4818181818181818,0.4649122807017544,0.47321428571428575,0.14893617021276595,0.1436950146627566,0.14626865671641792,0.23030303030303031,0.2222222222222222,0.22619047619047616
19,P09-1068,0.2138728323699422,0.46835443037974683,0.2936507936507936,0.057971014492753624,0.12738853503184713,0.0796812749003984,0.10404624277456648,0.22784810126582278,0.14285714285714285
20,N04-1043,0.2796610169491525,0.45517241379310347,0.3464566929133859,0.07234042553191489,0.11805555555555555,0.08970976253298152,0.15254237288135594,0.2482758620689655,0.18897637795275593
