,document,r1-precision,r1-recall,r1-f1-score,r2-precision,r2-recall,r2-f1-score,rL-precision,rL-recall,rL-f1-score
0,P99-1008,0.6428571428571429,0.34951456310679613,0.4528301886792453,0.41818181818181815,0.22549019607843138,0.2929936305732484,0.3392857142857143,0.18446601941747573,0.23899371069182387
1,J93-2003,0.987012987012987,0.35185185185185186,0.5187713310580204,0.9605263157894737,0.3395348837209302,0.5017182130584192,0.6103896103896104,0.2175925925925926,0.32081911262798635
2,W08-0336,0.4939759036144578,0.24550898203592814,0.328,0.13414634146341464,0.06626506024096386,0.08870967741935486,0.21686746987951808,0.10778443113772455,0.14400000000000002
3,N10-1119,0.41304347826086957,0.3081081081081081,0.35294117647058826,0.11678832116788321,0.08695652173913043,0.09968847352024922,0.2246376811594203,0.16756756756756758,0.19195046439628483
4,P04-3022,0.41284403669724773,0.3237410071942446,0.3629032258064516,0.12037037037037036,0.09420289855072464,0.1056910569105691,0.1926605504587156,0.1510791366906475,0.1693548387096774
5,J06-3003,0.7910447761194029,0.17666666666666667,0.2888283378746594,0.5606060606060606,0.12374581939799331,0.20273972602739726,0.6417910447761194,0.14333333333333334,0.2343324250681199
6,W08-0309,0.45161290322580644,0.16766467065868262,0.24454148471615716,0.13114754098360656,0.04819277108433735,0.07048458149779735,0.2903225806451613,0.10778443113772455,0.15720524017467247
7,P08-1114,0.31896551724137934,0.23717948717948717,0.2720588235294118,0.017391304347826087,0.012903225806451613,0.014814814814814814,0.12931034482758622,0.09615384615384616,0.11029411764705882
8,P87-1033,0.5081967213114754,0.28703703703703703,0.3668639053254438,0.11666666666666667,0.06542056074766354,0.08383233532934131,0.29508196721311475,0.16666666666666666,0.21301775147928995
9,J98-1006,0.9411764705882353,0.39669421487603307,0.5581395348837209,0.86,0.35833333333333334,0.5058823529411764,0.49019607843137253,0.2066115702479339,0.29069767441860467
10,P06-2066,0.4318181818181818,0.25333333333333335,0.319327731092437,0.09195402298850575,0.053691275167785234,0.06779661016949151,0.23863636363636365,0.14,0.17647058823529416
11,J02-3001,0.6911764705882353,0.1760299625468165,0.2805970149253732,0.4925373134328358,0.12406015037593984,0.19819819819819817,0.6176470588235294,0.15730337078651685,0.25074626865671645
12,P02-1043,0.3787878787878788,0.17482517482517482,0.23923444976076558,0.046153846153846156,0.02112676056338028,0.028985507246376812,0.18181818181818182,0.08391608391608392,0.11483253588516748
13,P95-1007,0.2972972972972973,0.19298245614035087,0.23404255319148934,0.0410958904109589,0.02654867256637168,0.03225806451612903,0.14864864864864866,0.09649122807017543,0.11702127659574467
14,J93-2004,0.042735042735042736,0.5,0.07874015748031497,0.0,0.0,0.0,0.02564102564102564,0.3,0.047244094488188976
15,C00-1072,0.40963855421686746,0.3469387755102041,0.37569060773480667,0.25609756097560976,0.21649484536082475,0.2346368715083799,0.37349397590361444,0.3163265306122449,0.3425414364640884
16,J05-4003,0.9583333333333334,0.23958333333333334,0.38333333333333336,0.8936170212765957,0.2198952879581152,0.35294117647058826,0.7708333333333334,0.19270833333333334,0.3083333333333333
17,J98-1001,0.2857142857142857,0.39473684210526316,0.3314917127071823,0.04807692307692308,0.06666666666666667,0.0558659217877095,0.14285714285714285,0.19736842105263158,0.16574585635359115
18,P83-1007,0.8666666666666667,0.19005847953216373,0.31175059952038364,0.7567567567567568,0.16422287390029325,0.26987951807228916,0.6,0.13157894736842105,0.21582733812949642
19,P09-1068,0.3235294117647059,0.13924050632911392,0.19469026548672566,0.04477611940298507,0.01910828025477707,0.026785714285714284,0.14705882352941177,0.06329113924050633,0.08849557522123895
20,N04-1043,0.34285714285714286,0.16551724137931034,0.22325581395348837,0.07246376811594203,0.034722222222222224,0.04694835680751174,0.2,0.09655172413793103,0.13023255813953488
21,C00-1044,0.48484848484848486,0.3582089552238806,0.41201716738197425,0.24489795918367346,0.18045112781954886,0.20779220779220778,0.2828282828282828,0.208955223880597,0.24034334763948498
22,P09-1057,0.3125,0.10582010582010581,0.15810276679841898,0.047619047619047616,0.015957446808510637,0.02390438247011952,0.203125,0.06878306878306878,0.10276679841897234
23,P96-1021,0.32608695652173914,0.17045454545454544,0.22388059701492538,0.044444444444444446,0.022988505747126436,0.030303030303030304,0.17391304347826086,0.09090909090909091,0.11940298507462685
24,P06-1084,0.6440677966101694,0.16740088105726872,0.26573426573426573,0.3620689655172414,0.09292035398230089,0.147887323943662,0.3898305084745763,0.1013215859030837,0.16083916083916083
25,C04-1041,0.40229885057471265,0.1388888888888889,0.20648967551622419,0.08139534883720931,0.027888446215139442,0.04154302670623145,0.19540229885057472,0.06746031746031746,0.10029498525073746
26,W11-1801,0.30864197530864196,0.2631578947368421,0.2840909090909091,0.075,0.06382978723404255,0.0689655172413793,0.18518518518518517,0.15789473684210525,0.17045454545454544
27,P91-1034,0.34210526315789475,0.21138211382113822,0.2613065326633166,0.05333333333333334,0.03278688524590164,0.04060913705583757,0.18421052631578946,0.11382113821138211,0.1407035175879397
28,P05-1067,0.37735849056603776,0.10869565217391304,0.1687763713080169,0.07692307692307693,0.02185792349726776,0.03404255319148936,0.22641509433962265,0.06521739130434782,0.10126582278481011
29,W09-0424,0.2926829268292683,0.19834710743801653,0.23645320197044334,0.12345679012345678,0.08333333333333333,0.09950248756218905,0.21951219512195122,0.1487603305785124,0.1773399014778325
30,W04-0308,0.3287671232876712,0.24742268041237114,0.2823529411764706,0.027777777777777776,0.020833333333333332,0.02380952380952381,0.1506849315068493,0.1134020618556701,0.12941176470588237
